iter	Passed	Remaining
0	6	6856
1	13	6625
2	20	6667
3	26	6622
4	33	6602
5	40	6705
6	47	6682
7	54	6719
8	61	6733
9	68	6764
10	75	6757
11	81	6697
12	88	6742
13	94	6686
14	101	6675
15	108	6643
16	114	6621
17	121	6634
18	128	6610
19	136	6688
20	143	6675
21	149	6623
22	155	6621
23	162	6593
24	171	6685
25	178	6680
26	201	7244
27	207	7212
28	213	7134
29	220	7133
30	227	7109
31	235	7138
32	242	7103
33	249	7085
34	255	7047
35	261	7009
36	268	6986
37	275	6965
38	282	6949
39	288	6920
40	294	6889
41	301	6868
42	307	6836
43	314	6825
44	320	6807
45	327	6794
46	333	6770
47	339	6741
48	346	6726
49	352	6702
50	359	6682
51	365	6662
52	371	6642
53	378	6637
54	384	6600
55	390	6580
56	397	6569
57	403	6546
58	409	6536
59	415	6514
60	421	6489
61	430	6508
62	436	6486
63	442	6474
64	462	6655
65	468	6634
66	475	6622
67	481	6601
68	487	6580
69	493	6562
70	499	6540
71	506	6529
72	512	6508
73	518	6485
74	524	6474
75	530	6453
76	537	6441
77	556	6576
78	562	6560
79	568	6543
80	575	6533
81	582	6520
82	589	6509
83	596	6502
84	602	6488
85	609	6480
86	615	6462
87	632	6554
88	638	6539
89	645	6527
90	653	6523
91	660	6516
92	666	6502
93	674	6499
94	682	6501
95	690	6502
96	697	6495
97	705	6492
98	712	6485
99	720	6480
100	727	6474
101	734	6462
102	741	6455
103	747	6441
104	755	6436
105	761	6426
106	769	6418
107	775	6408
108	782	6400
109	790	6391
110	796	6377
111	803	6368
112	810	6362
113	818	6358
114	825	6353
115	832	6343
116	839	6334
117	845	6316
118	851	6306
119	858	6296
120	865	6290
121	872	6279
122	879	6270
123	886	6261
124	892	6249
125	899	6242
126	906	6231
127	913	6224
128	940	6351
129	947	6340
130	954	6331
131	960	6317
132	967	6306
133	973	6292
134	980	6283
135	987	6275
136	994	6263
137	999	6243
138	1005	6226
139	1011	6215
140	1018	6203
141	1024	6188
142	1030	6176
143	1036	6160
144	1042	6149
145	1048	6134
146	1054	6119
147	1061	6110
148	1067	6097
149	1073	6082
150	1079	6070
151	1085	6057
152	1092	6049
153	1099	6039
154	1105	6025
155	1112	6017
156	1124	6036
157	1130	6025
158	1137	6014
159	1144	6006
160	1150	5996
161	1157	5986
162	1163	5975
163	1169	5962
164	1176	5953
165	1182	5940
166	1188	5930
167	1195	5918
168	1200	5905
169	1207	5894
170	1213	5883
171	1220	5873
172	1226	5865
173	1232	5852
174	1239	5842
175	1245	5830
176	1252	5822
177	1258	5811
178	1264	5798
179	1271	5791
180	1277	5781
181	1284	5771
182	1290	5761
183	1296	5749
184	1302	5738
185	1322	5788
186	1328	5775
187	1334	5763
188	1340	5753
189	1346	5741
190	1353	5733
191	1359	5722
192	1365	5711
193	1372	5701
194	1378	5691
195	1384	5681
196	1390	5669
197	1397	5658
198	1403	5651
